Id,Label,id_artista,popularidad,generos_musicales,genero,Grado,Intermediatez,Cercania,Grado,Intermediatez,Cercania
Bersuit Vergarabat,Bersuit Vergarabat,spotify:artist:6MxyNXnnmwQwdW2PD0gXYO,60,"['Rock', 'Alternative']",No se el género,1,0.0,0.2281625267313703,1,0.0,0.2281625267313703
Liliana Herrero,Liliana Herrero,spotify:artist:6iqeypk1XRa2zQVRcIVmlF,32,"['Folklore', 'Rock']",female,64,0.0335154952276768,0.2836980977705052,64,0.03351549522767682,0.2836980977705052
Lito Vitale,Lito Vitale,spotify:artist:7lw1BVWquad5hKtDPU26JG,41,"['Jazz', 'Tango', 'Rock']",male,281,0.2052547983930379,0.3273542600896861,281,0.20525479839303792,0.3273542600896861
Juanse,Juanse,spotify:artist:5AQlQBU9LCmQwReukeom2I,32,['Rock'],male,22,0.0057040197281104,0.2628387341292401,22,0.00570401972811041,0.2628387341292401
Ricardo Mollo,Ricardo Mollo,spotify:artist:7M6qgWRcVoBqgkczMPT1x7,48,['Rock'],male,27,0.0218644899191693,0.2752530263941258,27,0.02186448991916932,0.2752530263941258
Franco Luciani,Franco Luciani,spotify:artist:4BWj4rAdhcYB8aQXfnzfHy,27,"['Jazz', 'Tango', 'Folklore']",No se el género,45,0.0077399285575937,0.2541223891535361,45,0.007739928557593701,0.2541223891535361
Rolando Sartorio,Rolando Sartorio,spotify:artist:7p5juUWSPwGbJH4BI3n8u1,29,['Rock'],male,1,0.0,0.2281625267313703,1,0.0,0.2281625267313703
Raly Barrionuevo,Raly Barrionuevo,spotify:artist:0mdD8YXAyJDJ2BHxIKF0Yf,49,"['Folklore', 'Rock']",male,37,0.0207466825337192,0.2721742543171114,37,0.020746682533719234,0.27217425431711145
Soledad,Soledad,spotify:artist:0K59Fm1y7s3j498ueS4qzY,59,"['Folklore', 'Rock']",female,23,0.0111850113626353,0.2778445512820512,23,0.01118501136263536,0.27784455128205127
Axel,Axel,spotify:artist:32x1uogH2zajP85pzZAtuE,56,['Pop'],male,6,0.0020742063403114,0.2382752104449407,6,0.002074206340311422,0.23827521044494074
León Gieco,León Gieco,spotify:artist:5yoimVE1rbc3kAx4uwr7eq,51,"['Folklore', 'Rock', 'Alternative']",male,64,0.0265434546248607,0.2826574281638476,64,0.026543454624860744,0.2826574281638476
Pedro Aznar,Pedro Aznar,spotify:artist:2FFrhWZS9vJsh2UvxYPRr6,54,"['Jazz', 'Pop', 'Tango', 'Rock', 'Alternative']",male,90,0.0251455942486554,0.2891993327773144,90,0.025145594248655496,0.2891993327773144
David Lebón,David Lebón,spotify:artist:48Idb5uZga8diRAMTc9q3E,46,['Rock'],male,46,0.0321652752020085,0.2850390464447184,46,0.03216527520200852,0.28503904644471845
